seed,variant,iteration,stability_jsd,mean_log_prob,true_reject_rate,false_reject_rate,rouge_l_recall
2,control,0,0.0,-1.5864,0.6875,0.025,0.1755
2,control,1,0.037304,-1.9875,0.8125,0.075,0.1505
2,control,2,0.069709,-2.1016,0.825,0.05,0.123
2,control,3,0.088422,-1.8882,0.9,0.0875,0.094
2,control,4,0.108315,-1.9151,0.75,0.05,0.0549
2,control,5,0.156615,-2.0063,0.475,0.1375,0.0455
2,control,6,0.215552,-1.8201,0.85,0.025,0.0517
2,control,7,0.282103,-1.6051,0.85,0.0875,0.0509
2,control,8,0.340831,-1.608,0.8,0.0875,0.0502
2,control,9,0.375701,-1.5063,0.85,0.075,0.0525
2,control,10,0.374628,-1.6189,0.8375,0.0375,0.0611
2,oea_rag_only,0,0.0,-1.5864,0.6875,0.025,0.1755
2,oea_rag_only,1,0.034898,-2.106,0.825,0.0625,0.1575
2,oea_rag_only,2,0.060234,-2.1088,0.5625,0.0375,0.127
2,oea_rag_only,3,0.083711,-1.8465,0.7625,0.05,0.0987
2,oea_rag_only,4,0.107777,-1.9127,0.825,0.075,0.0603
2,oea_rag_only,5,0.151897,-2.1973,0.8625,0.1125,0.0596
2,oea_rag_only,6,0.21769,-1.9393,0.8375,0.075,0.0596
2,oea_rag_only,7,0.278482,-2.3286,0.525,0.0625,0.0462
2,oea_rag_only,8,0.341478,-2.2776,0.85,0.05,0.0502
2,oea_rag_only,9,0.364947,-2.3143,0.825,0.0125,0.0533
2,oea_rag_only,10,0.366879,-2.4077,0.7875,0.1,0.058
2,oea_anchored,0,0.0,-1.5864,0.6875,0.025,0.1755
2,oea_anchored,1,0.015746,-1.9195,0.7125,0.05,0.1607
2,oea_anchored,2,0.039791,-1.7052,0.75,0.05,0.134
2,oea_anchored,3,0.065679,-0.9518,0.75,0.0875,0.1058
2,oea_anchored,4,0.089726,-0.5919,0.8,0.025,0.0721
2,oea_anchored,5,0.132721,-0.3287,0.8125,0.0375,0.0674
2,oea_anchored,6,0.217808,-0.3591,0.7625,0.0375,0.0674
2,oea_anchored,7,0.304888,-0.3874,0.775,0.0625,0.0666
2,oea_anchored,8,0.40632,-0.2579,0.7625,0.025,0.0674
2,oea_anchored,9,0.457536,-0.378,0.7125,0.05,0.0674
2,oea_anchored,10,0.459908,-0.287,0.8125,0.05,0.0666
2,oea_miscalibrated,0,0.0,-1.5864,0.6875,0.025,0.1755
2,oea_miscalibrated,1,0.034898,-2.106,0.825,0.0625,0.1575
2,oea_miscalibrated,2,0.063656,-2.2273,0.9125,0.05,0.127
2,oea_miscalibrated,3,0.063953,-2.2097,0.125,0.0125,0.1223
2,oea_miscalibrated,4,0.087897,-1.7359,0.075,0.05,0.0995
2,oea_miscalibrated,5,0.117184,-1.7954,0.7375,0.05,0.0635
2,oea_miscalibrated,6,0.117184,-1.8087,0.075,0.025,0.0627
2,oea_miscalibrated,7,0.171324,-1.7719,0.6,0.1375,0.0431
2,oea_miscalibrated,8,0.25391,-1.5899,0.825,0.05,0.0384
2,oea_miscalibrated,9,0.331711,-1.502,0.6875,0.025,0.0337
2,oea_miscalibrated,10,0.409595,-1.6812,0.8,0.0625,0.0392
3,control,0,0.0,-1.5864,0.6875,0.025,0.1755
3,control,1,0.008621,-1.8707,0.125,0.05,0.1701
3,control,2,0.058338,-1.7257,0.525,0.05,0.1442
3,control,3,0.08948,-1.4515,0.675,0.05,0.116
3,control,4,0.112249,-1.3727,0.6375,0.05,0.0831
3,control,5,0.140788,-1.2945,0.6875,0.05,0.0509
3,control,6,0.205301,-1.3785,0.6125,0.0,0.0525
3,control,7,0.279732,-1.4699,0.65,0.1,0.058
3,control,8,0.357596,-1.3709,0.725,0.1,0.0619
3,control,9,0.419575,-1.3027,0.6625,0.0625,0.0611
3,control,10,0.441747,-1.2352,0.6375,0.0625,0.0643
3,oea_rag_only,0,0.0,-1.5864,0.6875,0.025,0.1755
3,oea_rag_only,1,0.026877,-1.8632,0.8625,0.1,0.1567
3,oea_rag_only,2,0.049321,-1.9327,0.8125,0.0625,0.1301
3,oea_rag_only,3,0.06993,-1.8396,0.8625,0.075,0.0995
3,oea_rag_only,4,0.080832,-1.8847,0.9125,0.0625,0.0666
3,oea_rag_only,5,0.087972,-2.1708,0.1375,0.0,0.065
3,oea_rag_only,6,0.142025,-1.948,0.075,0.025,0.0533
3,oea_rag_only,7,0.205561,-1.8081,0.775,0.05,0.0533
3,oea_rag_only,8,0.264734,-1.7041,0.4125,0.0625,0.0509
3,oea_rag_only,9,0.315982,-1.4222,0.6625,0.0375,0.0455
3,oea_rag_only,10,0.345904,-1.4528,0.5625,0.0125,0.0447
3,oea_anchored,0,0.0,-1.5864,0.6875,0.025,0.1755
3,oea_anchored,1,0.005172,-2.385,0.975,0.1,0.1708
3,oea_anchored,2,0.028834,-1.9366,0.8,0.1125,0.1513
3,oea_anchored,3,0.054087,-1.4199,0.8,0.1125,0.1277
3,oea_anchored,4,0.077107,-1.016,0.8,0.1125,0.1019
3,oea_anchored,5,0.105805,-0.4417,0.8,0.1125,0.0799
3,oea_anchored,6,0.171988,-0.4417,0.8,0.1125,0.0799
3,oea_anchored,7,0.250186,-0.4417,0.8,0.1125,0.0799
3,oea_anchored,8,0.327916,-0.4417,0.8,0.1125,0.0799
3,oea_anchored,9,0.416175,-0.4417,0.8,0.1125,0.0799
3,oea_anchored,10,0.432115,-0.4417,0.8,0.1125,0.0799
3,oea_miscalibrated,0,0.0,-1.5864,0.6875,0.025,0.1755
3,oea_miscalibrated,1,0.023441,-1.9732,0.875,0.0875,0.1552
3,oea_miscalibrated,2,0.04585,-2.0182,0.875,0.1,0.123
3,oea_miscalibrated,3,0.065106,-1.7844,0.875,0.075,0.094
3,oea_miscalibrated,4,0.080785,-1.8402,0.8625,0.0875,0.0635
3,oea_miscalibrated,5,0.122403,-2.0369,0.925,0.1625,0.0525
3,oea_miscalibrated,6,0.176797,-2.1881,0.8,0.025,0.047
3,oea_miscalibrated,7,0.228397,-2.3832,0.675,0.0875,0.0525
3,oea_miscalibrated,8,0.27208,-2.4047,0.8625,0.125,0.0533
3,oea_miscalibrated,9,0.309964,-2.35,0.875,0.0625,0.0478
3,oea_miscalibrated,10,0.317912,-2.315,0.8125,0.025,0.0502
4,control,0,0.0,-1.5864,0.6875,0.025,0.1755
4,control,1,0.031264,-2.0017,0.8625,0.0375,0.1552
4,control,2,0.055272,-2.0522,0.85,0.1,0.1293
4,control,3,0.078512,-1.777,0.7625,0.0875,0.1027
4,control,4,0.093934,-1.7937,0.7875,0.075,0.0682
4,control,5,0.132429,-1.8921,0.875,0.1125,0.0564
4,control,6,0.188415,-1.721,0.825,0.0625,0.0572
4,control,7,0.250297,-1.7144,0.8125,0.05,0.0674
4,control,8,0.307136,-1.7694,0.7875,0.0625,0.0643
4,control,9,0.346661,-1.6684,0.8625,0.05,0.0596
4,control,10,0.355427,-1.7037,0.9,0.1,0.0588
4,oea_rag_only,0,0.0,-1.5864,0.6875,0.025,0.1755
4,oea_rag_only,1,0.044299,-1.8159,0.4125,0.0625,0.1513
4,oea_rag_only,2,0.044299,-1.8484,0.05,0.025,0.1505
4,oea_rag_only,3,0.08409,-1.5733,0.1625,0.0125,0.116
4,oea_rag_only,4,0.110217,-1.0947,0.8,0.025,0.0878
4,oea_rag_only,5,0.131117,-0.8825,0.7875,0.075,0.0533
4,oea_rag_only,6,0.184601,-1.0858,0.8375,0.0875,0.0439
4,oea_rag_only,7,0.257981,-1.1068,0.6625,0.0125,0.0439
4,oea_rag_only,8,0.32898,-1.2931,0.7625,0.1125,0.0502
4,oea_rag_only,9,0.394158,-1.3896,0.7875,0.05,0.0509
4,oea_rag_only,10,0.421549,-1.5416,0.6375,0.0375,0.0588
