seed,variant,iteration,stability,mean_log_prob,stability_jsd,true_reject_rate,false_reject_rate
1,top_k,0,0.993119,-6.052329,0.489694,0.6052,0.2256
1,top_k,1,0.192678,-6.009025,0.499724,0.6052,0.2256
1,top_k,2,0.060355,-6.042585,0.484994,0.6052,0.2256
1,top_k,3,0.178033,-6.022056,0.451263,0.6052,0.2256
1,top_k,4,0.15,-6.119751,0.53331,0.6052,0.2256
1,top_k,5,0.205178,-6.044168,0.494033,0.6052,0.2256
1,top_k,6,0.130178,-6.123454,0.517133,0.6052,0.2256
1,top_k,7,0.140533,-6.070546,0.506061,0.6052,0.2256
1,top_k,8,0.0875,-6.068415,0.498561,0.6052,0.2256
1,top_k,9,0.042678,-6.121371,0.536329,0.6052,0.2256
1,top_k,10,0.178033,-6.066865,0.516317,0.6052,0.2256
1,entropy_filter,0,0.993119,-6.052329,0.489694,0.6304,0.2112
1,entropy_filter,1,0.210355,-6.058354,0.486962,0.6304,0.2112
1,entropy_filter,2,0.205178,-6.07529,0.48984,0.6304,0.2112
1,entropy_filter,3,0.140533,-6.093747,0.522709,0.6304,0.2112
1,entropy_filter,4,0.142678,-6.024333,0.502731,0.6304,0.2112
1,entropy_filter,5,0.1875,-6.029142,0.490317,0.6304,0.2112
1,entropy_filter,6,0.212184,-5.982933,0.477701,0.6304,0.2112
1,entropy_filter,7,0.1,-6.032626,0.490993,0.6304,0.2112
1,entropy_filter,8,0.233211,-5.942435,0.456389,0.6304,0.2112
1,entropy_filter,9,0.110355,-6.061339,0.520357,0.6304,0.2112
1,entropy_filter,10,0.130178,-5.940942,0.47142,0.6304,0.2112
1,repetition_penalty,0,0.993119,-6.052329,0.489694,0.6052,0.2256
1,repetition_penalty,1,0.197855,-6.102046,0.504319,0.6052,0.2256
1,repetition_penalty,2,0.125,-6.094654,0.513608,0.6052,0.2256
1,repetition_penalty,3,0.197855,-6.157851,0.509988,0.6052,0.2256
1,repetition_penalty,4,0.117678,-6.118363,0.534589,0.6052,0.2256
1,repetition_penalty,5,0.272855,-6.050933,0.475146,0.6052,0.2256
1,repetition_penalty,6,0.147855,-6.048904,0.480499,0.6052,0.2256
1,repetition_penalty,7,0.110355,-6.041304,0.469153,0.6052,0.2256
1,repetition_penalty,8,0.117678,-6.125776,0.506949,0.6052,0.2256
1,repetition_penalty,9,0.135355,-6.130826,0.506889,0.6052,0.2256
1,repetition_penalty,10,0.122855,-6.028863,0.492638,0.6052,0.2256
1,rag_only,0,0.993119,-6.052329,0.489694,0.59008,0.23424
1,rag_only,1,0.203474,-4.920673,0.392286,0.59008,0.23424
1,rag_only,2,0.160355,-4.992802,0.398922,0.59008,0.23424
1,rag_only,3,0.110355,-4.990569,0.400661,0.59008,0.23424
1,rag_only,4,0.110355,-4.960344,0.398795,0.59008,0.23424
1,rag_only,5,0.183211,-5.00093,0.385936,0.59008,0.23424
1,rag_only,6,0.122855,-4.987428,0.406899,0.59008,0.23424
1,rag_only,7,0.160355,-5.013947,0.419262,0.59008,0.23424
1,rag_only,8,0.128033,-4.988705,0.409802,0.59008,0.23424
1,rag_only,9,0.172855,-4.986866,0.408183,0.59008,0.23424
