seed,variant,iteration,stability_jsd,mean_log_prob,true_reject_rate,false_reject_rate
3,oea_miscalibrated,0,0.0,-3.9376,0.525,0.1125
3,oea_miscalibrated,1,0.03266,-3.5989,0.4,0.025
3,oea_miscalibrated,2,0.048131,-3.3991,0.0375,0.0
3,oea_miscalibrated,3,0.082674,-3.1968,0.4625,0.05
3,oea_miscalibrated,4,0.102781,-2.7236,0.45,0.1125
3,oea_miscalibrated,5,0.129674,-2.4728,0.425,0.1625
4,control,0,0.0,-3.9376,0.525,0.1125
4,control,1,0.039163,-3.5137,0.525,0.125
4,control,2,0.069588,-3.0128,0.525,0.0625
4,control,3,0.102719,-2.1819,0.525,0.1625
4,control,4,0.131184,-1.3727,0.5,0.1
4,control,5,0.19331,-0.7481,0.3875,0.0
4,oea_rag_only,0,0.0,-3.9376,0.525,0.1125
4,oea_rag_only,1,0.033171,-3.5226,0.4375,0.1
4,oea_rag_only,2,0.058962,-3.1758,0.475,0.125
4,oea_rag_only,3,0.08164,-2.6087,0.4375,0.1375
4,oea_rag_only,4,0.10169,-2.0695,0.4875,0.1125
4,oea_rag_only,5,0.152127,-1.5596,0.5,0.0875
4,oea_anchored,0,0.0,-3.9376,0.525,0.1125
4,oea_anchored,1,0.01276,-3.4319,0.525,0.125
4,oea_anchored,2,0.036478,-2.631,0.4125,0.0625
4,oea_anchored,3,0.05989,-1.8449,0.1875,0.025
4,oea_anchored,4,0.080773,-0.8761,0.575,0.0625
4,oea_anchored,5,0.126317,-0.6901,0.4625,0.0625
4,oea_miscalibrated,0,0.0,-3.9376,0.525,0.1125
4,oea_miscalibrated,1,0.033171,-3.5226,0.4375,0.1
4,oea_miscalibrated,2,0.061384,-3.2063,0.525,0.0625
4,oea_miscalibrated,3,0.08287,-2.765,0.6375,0.075
4,oea_miscalibrated,4,0.10181,-2.5204,0.475,0.125
4,oea_miscalibrated,5,0.144913,-2.3834,0.55,0.075
