seed,variant,iteration,stability_jsd,mean_log_prob,true_reject_rate,false_reject_rate,rouge_l_recall
2,control,1,0.017725,-3.0972,0.425,0.0125,0.1418
2,control,2,0.039811,-2.7567,0.5375,0.0125,0.1136
2,control,3,0.069989,-2.3711,0.575,0.0875,0.0839
2,control,4,0.094799,-1.9903,0.6125,0.075,0.0486
2,control,5,0.146406,-1.7839,0.5375,0.025,0.0408
2,control,6,0.218341,-1.5035,0.625,0.0125,0.0313
2,control,7,0.28793,-1.3668,0.5375,0.1,0.0313
2,control,8,0.364983,-1.1176,0.5625,0.05,0.0321
2,control,9,0.416991,-0.9977,0.5,0.0625,0.0321
2,control,10,0.471406,-0.7891,0.425,0.1,0.0266
2,oea_rag_only,0,0.0,-3.3608,0.525,0.125,0.1661
2,oea_rag_only,1,0.039021,-3.1733,0.6625,0.1125,0.1387
2,oea_rag_only,2,0.059964,-3.0124,0.5,0.075,0.1136
2,oea_rag_only,3,0.079473,-2.681,0.625,0.05,0.087
2,oea_rag_only,4,0.095612,-2.472,0.6875,0.05,0.0549
2,oea_rag_only,5,0.132785,-2.3681,0.4625,0.025,0.0533
2,oea_rag_only,6,0.186377,-2.2151,0.6125,0.0375,0.0517
2,oea_rag_only,7,0.233009,-2.1727,0.6625,0.05,0.0486
2,oea_rag_only,8,0.296097,-2.3024,0.6125,0.0875,0.0478
2,oea_rag_only,9,0.323078,-2.3507,0.4625,0.0125,0.0509
2,oea_rag_only,10,0.336891,-2.1393,0.4,0.025,0.047
2,oea_anchored,0,0.0,-3.3608,0.525,0.125,0.1661
2,oea_anchored,1,0.006993,-3.5547,0.8875,0.025,0.1567
2,oea_anchored,2,0.019716,-3.3819,0.4375,0.05,0.1348
2,oea_anchored,3,0.037488,-2.9165,0.2875,0.025,0.105
2,oea_anchored,4,0.064504,-2.0566,0.25,0.025,0.0705
2,oea_anchored,5,0.090538,-1.3212,0.25,0.025,0.0298
2,oea_anchored,6,0.158603,-0.6545,0.25,0.025,0.011
2,oea_anchored,7,0.238514,-0.0828,0.25,0.025,0.0
2,oea_anchored,8,0.334527,-0.0828,0.25,0.025,0.0
2,oea_anchored,9,0.420087,-0.0828,0.25,0.025,0.0
2,oea_anchored,10,0.487799,-0.0828,0.25,0.025,0.0
2,oea_miscalibrated,0,0.0,-3.3608,0.525,0.125,0.1661
2,oea_miscalibrated,1,0.039021,-3.1733,0.6625,0.1125,0.1387
2,oea_miscalibrated,2,0.059964,-3.0124,0.5,0.075,0.1136
2,oea_miscalibrated,3,0.081937,-2.7197,0.5875,0.0375,0.087
2,oea_miscalibrated,4,0.095169,-2.5219,0.6875,0.0625,0.0549
2,oea_miscalibrated,5,0.129673,-2.4772,0.4625,0.025,0.0502
2,oea_miscalibrated,6,0.183269,-2.356,0.675,0.0625,0.0509
2,oea_miscalibrated,7,0.241233,-2.2968,0.625,0.1,0.0478
2,oea_miscalibrated,8,0.290817,-2.3836,0.5,0.0625,0.0533
2,oea_miscalibrated,9,0.321565,-2.3785,0.6125,0.1,0.0533
2,oea_miscalibrated,10,0.323108,-2.4,0.5875,0.05,0.0572
3,control,0,0.0,-3.3608,0.525,0.125,0.1661
3,control,1,0.03448,-3.1048,0.5875,0.0375,0.1387
3,control,2,0.06124,-2.7467,0.3875,0.025,0.1074
3,control,3,0.084286,-2.1999,0.7375,0.1,0.076
3,control,4,0.101017,-1.7639,0.45,0.025,0.0431
3,control,5,0.145241,-1.6268,0.6,0.0625,0.0431
3,control,6,0.205746,-1.6863,0.65,0.0375,0.0431
3,control,7,0.267304,-1.7288,0.675,0.025,0.0455
3,control,8,0.323703,-1.7952,0.375,0.025,0.0455
3,control,9,0.355884,-1.8029,0.5125,0.0125,0.0502
3,control,10,0.350595,-1.5769,0.45,0.025,0.0439
