variant,seed,depth,synthetic_ratio,noise,stability_score,heldout_perplexity,diversity_ttr,true_reject_rate,false_reject_rate,false_accept_rate,tail_loss,novel_noise_tokens,false_accept_count,false_reject_count,corpus
control_replace,1,5,0.25,0.1,0.4849536775568618,365.38252658394634,0.5291545189504373,0.6166666666666667,0.23333333333333334,0.3833333333333333,851,213,115,70,repo_docs
control_replace,1,5,0.25,0.2,0.45852185769761533,403.1671387615824,0.5845481049562682,0.5766666666666667,0.20666666666666667,0.42333333333333334,893,293,127,62,repo_docs
control_replace,1,5,0.25,0.3,0.42542086182002703,456.54468237900585,0.6632653061224489,0.58,0.2733333333333333,0.42000000000000004,934,388,126,82,repo_docs
control_replace,1,5,0.5,0.1,0.5910089866561451,654.1293350634115,0.47230320699708456,0.61,0.21666666666666667,0.39,698,345,117,65,repo_docs
control_replace,1,5,0.5,0.2,0.5529303669218879,727.6566426688785,0.5269679300291545,0.6233333333333333,0.29333333333333333,0.3766666666666667,782,504,113,88,repo_docs
control_replace,1,5,0.5,0.3,0.469691400837319,728.054331390621,0.5291545189504373,0.5833333333333334,0.23333333333333334,0.41666666666666663,875,600,125,70,repo_docs
control_replace,1,5,0.75,0.1,0.6520034906108285,920.6361077936252,0.44314868804664725,0.5433333333333333,0.25,0.45666666666666667,576,487,137,75,repo_docs
control_replace,1,5,0.75,0.2,0.5731929525533632,981.8242865080493,0.4752186588921283,0.5333333333333333,0.26,0.4666666666666667,709,686,140,78,repo_docs
control_replace,1,5,0.75,0.3,0.5172936278459848,983.0112790735571,0.478134110787172,0.5833333333333334,0.26666666666666666,0.41666666666666663,779,762,125,80,repo_docs
control_replace,1,10,0.25,0.1,0.39347607537137663,328.94426991790317,0.478134110787172,0.5933333333333334,0.28,0.4066666666666666,942,269,122,84,repo_docs
control_replace,1,10,0.25,0.2,0.35075817787998376,374.128014518582,0.5451895043731778,0.5866666666666667,0.23666666666666666,0.41333333333333333,978,351,124,71,repo_docs
control_replace,1,10,0.25,0.3,0.32474595592267064,417.0857731551465,0.607871720116618,0.56,0.2633333333333333,0.43999999999999995,993,409,132,79,repo_docs
control_replace,1,10,0.5,0.1,0.47240804133405034,604.5710490658748,0.4387755102040816,0.56,0.23666666666666666,0.43999999999999995,864,465,132,71,repo_docs
control_replace,1,10,0.5,0.2,0.41738294650640895,676.2778434017515,0.49198250728862974,0.5933333333333334,0.24,0.4066666666666666,929,603,122,72,repo_docs
control_replace,1,10,0.5,0.3,0.34775466387897924,692.3594715710914,0.5043731778425656,0.5833333333333334,0.2866666666666667,0.41666666666666663,976,667,125,86,repo_docs
control_replace,1,10,0.75,0.1,0.5523159663337905,860.4365610905518,0.4173955296404276,0.55,0.21666666666666667,0.44999999999999996,777,635,135,65,repo_docs
control_replace,1,10,0.75,0.2,0.43454005243471827,881.4561318854275,0.4271137026239067,0.5866666666666667,0.20666666666666667,0.41333333333333333,892,770,124,62,repo_docs
control_replace,1,10,0.75,0.3,0.409278987523618,876.9046321821747,0.42565597667638483,0.6,0.23333333333333334,0.4,936,811,120,70,repo_docs
control_replace,1,15,0.25,0.1,0.3600339869533731,325.5770098671848,0.4737609329446064,0.5466666666666666,0.25666666666666665,0.45333333333333337,972,296,136,77,repo_docs
control_replace,1,15,0.25,0.2,0.3225422633383186,388.0143928416624,0.565597667638484,0.56,0.23333333333333334,0.43999999999999995,996,383,132,70,repo_docs
control_replace,1,15,0.25,0.3,0.30847718644657085,407.00000000003274,0.5932944606413995,0.6133333333333333,0.25666666666666665,0.3866666666666667,1000,406,116,77,repo_docs
control_replace,1,15,0.5,0.1,0.4140132211728258,582.113257538265,0.4227405247813411,0.56,0.25666666666666665,0.43999999999999995,935,514,132,77,repo_docs
control_replace,1,15,0.5,0.2,0.3554694451380873,641.3869354527247,0.467201166180758,0.59,0.21333333333333335,0.41000000000000003,976,616,123,64,repo_docs
control_replace,1,15,0.5,0.3,0.312304328180413,684.0144718810038,0.49854227405247814,0.5833333333333334,0.24666666666666667,0.41666666666666663,997,680,125,74,repo_docs
control_replace,1,15,0.75,0.1,0.47439626399301693,815.4584698185005,0.39504373177842567,0.55,0.25666666666666665,0.44999999999999996,874,686,135,77,repo_docs
control_replace,1,15,0.75,0.2,0.3753643365351068,819.7136931517753,0.3979591836734694,0.5833333333333334,0.21,0.41666666666666663,950,768,125,63,repo_docs
control_replace,1,15,0.75,0.3,0.35949016409028056,843.6012392191524,0.4096209912536443,0.5866666666666667,0.25666666666666665,0.41333333333333333,976,818,124,77,repo_docs
control_replace,2,5,0.25,0.1,0.5036054274540643,367.0478133370108,0.532069970845481,0.5666666666666667,0.22,0.43333333333333335,839,203,130,66,repo_docs
control_replace,2,5,0.25,0.2,0.44584000560715453,410.7253526608122,0.5962099125364432,0.5833333333333334,0.24666666666666667,0.41666666666666663,906,314,125,74,repo_docs
control_replace,2,5,0.25,0.3,0.40959516441035393,426.74125014896686,0.6209912536443148,0.6,0.22333333333333333,0.4,940,365,120,67,repo_docs
control_replace,2,5,0.5,0.1,0.5649419175761528,679.0579508189569,0.4905247813411079,0.5933333333333334,0.24666666666666667,0.4066666666666666,723,395,122,74,repo_docs
control_replace,2,5,0.5,0.2,0.5326287689253255,719.9615682347434,0.521865889212828,0.6,0.24666666666666667,0.4,801,516,120,74,repo_docs
control_replace,2,5,0.5,0.3,0.490159610468479,746.9129812686941,0.543002915451895,0.5733333333333334,0.21333333333333335,0.42666666666666664,870,614,128,64,repo_docs
control_replace,2,5,0.75,0.1,0.6431819889338465,958.7573095519562,0.4616132167152575,0.5733333333333334,0.25,0.42666666666666664,586,535,128,75,repo_docs
control_replace,2,5,0.75,0.2,0.5902158243921338,984.5739592135985,0.47619047619047616,0.56,0.2633333333333333,0.43999999999999995,700,679,132,79,repo_docs
control_replace,2,5,0.75,0.3,0.5193685136019899,964.5431652135657,0.467444120505345,0.5733333333333334,0.24,0.42666666666666664,802,763,128,72,repo_docs
control_replace,2,10,0.25,0.1,0.39841750206873006,344.75366074050453,0.5014577259475219,0.6233333333333333,0.25333333333333335,0.3766666666666667,943,286,113,76,repo_docs
control_replace,2,10,0.25,0.2,0.3329886009768024,396.0853357330614,0.577259475218659,0.61,0.21,0.39,987,382,117,63,repo_docs
control_replace,2,10,0.25,0.3,0.3449036224125358,427.245026413874,0.6224489795918368,0.54,0.26,0.45999999999999996,987,413,138,78,repo_docs
control_replace,2,10,0.5,0.1,0.4706621875662169,620.7385285496099,0.4489795918367347,0.63,0.19333333333333333,0.37,875,490,111,58,repo_docs
control_replace,2,10,0.5,0.2,0.4283088509570492,660.3202688654359,0.4803206997084548,0.54,0.25,0.45999999999999996,936,594,138,75,repo_docs
control_replace,2,10,0.5,0.3,0.3826688978487631,696.3758024869522,0.5072886297376094,0.5733333333333334,0.27,0.42666666666666664,968,663,128,81,repo_docs
control_replace,2,10,0.75,0.1,0.5409465444548871,848.9295947900113,0.4101068999028183,0.6366666666666667,0.23666666666666666,0.3633333333333333,793,636,109,71,repo_docs
control_replace,2,10,0.75,0.2,0.4508968889518149,857.2721836477829,0.41545189504373176,0.5866666666666667,0.21333333333333335,0.41333333333333333,885,739,124,64,repo_docs
control_replace,2,10,0.75,0.3,0.4032643986632367,865.4169758009239,0.4203109815354713,0.5633333333333334,0.21333333333333335,0.43666666666666665,950,814,131,64,repo_docs
control_replace,2,15,0.25,0.1,0.35295735387607574,338.3960062328506,0.49271137026239065,0.58,0.23666666666666666,0.42000000000000004,975,312,126,71,repo_docs
control_replace,2,15,0.25,0.2,0.31229776203978654,380.02841425743776,0.5539358600583091,0.6033333333333334,0.2633333333333333,0.3966666666666666,998,377,119,79,repo_docs
control_replace,2,15,0.25,0.3,0.31224542721176896,419.0000000000114,0.6107871720116618,0.5866666666666667,0.20666666666666667,0.41333333333333333,999,417,124,62,repo_docs
control_replace,2,15,0.5,0.1,0.41324886741152767,600.2613575042624,0.4358600583090379,0.6366666666666667,0.24,0.3633333333333333,934,531,109,72,repo_docs
control_replace,2,15,0.5,0.2,0.35467071587891263,653.2430107122292,0.47594752186588923,0.5833333333333334,0.24333333333333335,0.41666666666666663,979,631,125,73,repo_docs
control_replace,2,15,0.5,0.3,0.3278952790046814,687.0144723367735,0.500728862973761,0.59,0.22333333333333333,0.41000000000000003,994,680,123,67,repo_docs
control_replace,2,15,0.75,0.1,0.48533573107998973,792.7806795154986,0.38289601554907676,0.5433333333333333,0.29333333333333333,0.45666666666666667,887,674,137,88,repo_docs
control_replace,2,15,0.75,0.2,0.39517113283684224,839.6868849311525,0.4076773566569485,0.6233333333333333,0.24,0.3766666666666667,948,786,113,72,repo_docs
control_replace,2,15,0.75,0.3,0.3750939173190233,842.1987896672359,0.40913508260447035,0.5733333333333334,0.16666666666666666,0.42666666666666664,980,821,128,50,repo_docs
control_replace,3,5,0.25,0.1,0.47815471231710793,348.8858823363071,0.5058309037900874,0.6033333333333334,0.23,0.3966666666666666,848,194,119,69,repo_docs
control_replace,3,5,0.25,0.2,0.43931457929821427,407.5165475690886,0.5918367346938775,0.6166666666666667,0.26666666666666666,0.3833333333333333,908,313,115,80,repo_docs
control_replace,3,5,0.25,0.3,0.39585937424710704,443.53084601950684,0.6457725947521866,0.63,0.24,0.37,938,380,111,72,repo_docs
control_replace,3,5,0.5,0.1,0.5844574722707001,659.840280973461,0.4774052478134111,0.61,0.21333333333333335,0.39,712,366,117,64,repo_docs
control_replace,3,5,0.5,0.2,0.5248637247793184,730.1630688437536,0.5306122448979592,0.5766666666666667,0.2633333333333333,0.42333333333333334,805,532,127,79,repo_docs
control_replace,3,5,0.5,0.3,0.463815563105344,737.8091903753512,0.5364431486880467,0.6166666666666667,0.19333333333333333,0.3833333333333333,866,601,115,58,repo_docs
control_replace,3,5,0.75,0.1,0.6716056890785853,944.0294724714491,0.4543245869776482,0.5866666666666667,0.23666666666666666,0.41333333333333333,577,511,124,71,repo_docs
control_replace,3,5,0.75,0.2,0.5725280375107203,969.4210668972697,0.4684159378036929,0.6266666666666667,0.21666666666666667,0.3733333333333333,716,679,112,65,repo_docs
control_replace,3,5,0.75,0.3,0.5505528488599118,986.0101200252795,0.4771622934888241,0.5866666666666667,0.2,0.41333333333333333,785,766,124,60,repo_docs
control_replace,3,10,0.25,0.1,0.397408629151931,334.07924588228053,0.48542274052478135,0.55,0.24666666666666667,0.44999999999999996,940,272,135,74,repo_docs
control_replace,3,10,0.25,0.2,0.3525622003493091,393.36307885413146,0.5728862973760933,0.61,0.24333333333333335,0.39,974,366,117,73,repo_docs
control_replace,3,10,0.25,0.3,0.3166986015868063,414.01440424078436,0.6034985422740525,0.6233333333333333,0.19333333333333333,0.3766666666666667,995,408,113,58,repo_docs
control_replace,3,10,0.5,0.1,0.47290329852098334,618.5261820217413,0.4489795918367347,0.5833333333333334,0.22333333333333333,0.41666666666666663,864,479,125,67,repo_docs
control_replace,3,10,0.5,0.2,0.4028493291556676,671.7194773331124,0.489067055393586,0.6366666666666667,0.2,0.3633333333333333,946,616,109,60,repo_docs
control_replace,3,10,0.5,0.3,0.3779211988903074,689.0369607763951,0.5014577259475219,0.5766666666666667,0.23333333333333334,0.42333333333333334,972,659,127,70,repo_docs
control_replace,3,10,0.75,0.1,0.5605673165462888,852.1782644094767,0.4110787172011662,0.5933333333333334,0.25,0.4066666666666666,788,633,122,75,repo_docs
control_replace,3,10,0.75,0.2,0.4389120050427726,868.0662145476872,0.4207968901846453,0.5633333333333334,0.22666666666666666,0.43666666666666665,898,763,131,68,repo_docs
control_replace,3,10,0.75,0.3,0.40169404373766016,872.7325556342585,0.423712342079689,0.65,0.24,0.35,941,812,105,72,repo_docs
control_replace,3,15,0.25,0.1,0.35440468578835227,329.392158213267,0.47959183673469385,0.5666666666666667,0.22,0.43333333333333335,973,301,130,66,repo_docs
control_replace,3,15,0.25,0.2,0.3156677856264529,387.0284272052136,0.5641399416909622,0.5766666666666667,0.23333333333333334,0.42333333333333334,998,384,127,70,repo_docs
control_replace,3,15,0.25,0.3,0.8708328223885589,409.0000000000285,0.5962099125364432,0.5833333333333334,0.2,0.41666666666666663,1001,409,125,60,repo_docs
control_replace,3,15,0.5,0.1,0.401318410103236,580.0066677536415,0.42201166180758015,0.5466666666666666,0.25666666666666665,0.45333333333333337,935,513,136,77,repo_docs
control_replace,3,15,0.5,0.2,0.3506873593495583,655.3428099617782,0.4774052478134111,0.5666666666666667,0.22666666666666666,0.43333333333333335,982,636,130,68,repo_docs
control_replace,3,15,0.5,0.3,0.3293439981112818,680.1587843306719,0.4956268221574344,0.65,0.24,0.35,996,675,105,72,repo_docs
control_replace,3,15,0.75,0.1,0.45683774746814576,796.1364508504338,0.38532555879494657,0.5866666666666667,0.22666666666666666,0.41333333333333333,882,674,124,68,repo_docs
control_replace,3,15,0.75,0.2,0.3844960298743617,815.691412652888,0.39601554907677355,0.5533333333333333,0.24666666666666667,0.44666666666666666,949,763,134,74,repo_docs
control_replace,3,15,0.75,0.3,0.3819206019634048,848.5598799889079,0.41205053449951407,0.6066666666666667,0.24,0.3933333333333333,974,821,118,72,repo_docs
control_replace,4,5,0.25,0.1,0.49563713315331137,377.21782453322925,0.5466472303206997,0.6066666666666667,0.20666666666666667,0.3933333333333333,838,212,118,62,repo_docs
control_replace,4,5,0.25,0.2,0.42608040500273303,407.74216256636527,0.5932944606413995,0.5833333333333334,0.19333333333333333,0.41666666666666663,900,306,125,58,repo_docs
control_replace,4,5,0.25,0.3,0.39032009262322365,424.8363309369633,0.6180758017492711,0.5633333333333334,0.22666666666666666,0.43666666666666665,947,370,131,68,repo_docs
control_replace,4,5,0.5,0.1,0.5939821245761168,662.0072418930721,0.478134110787172,0.6233333333333333,0.24333333333333335,0.3766666666666667,698,353,113,73,repo_docs
control_replace,4,5,0.5,0.2,0.5237676629377269,734.1710048519727,0.5335276967930029,0.6066666666666667,0.23,0.3933333333333333,789,520,118,69,repo_docs
control_replace,4,5,0.5,0.3,0.4562134943748615,745.3357993628688,0.5422740524781341,0.61,0.22,0.39,873,616,117,66,repo_docs
control_replace,4,5,0.75,0.1,0.6539204270453833,926.6678321933616,0.4465500485908649,0.63,0.24333333333333335,0.37,571,489,111,73,repo_docs
control_replace,4,5,0.75,0.2,0.5532421819866329,962.2180327916032,0.46598639455782315,0.5933333333333334,0.22666666666666666,0.4066666666666666,711,669,122,68,repo_docs
control_replace,4,5,0.75,0.3,0.5467431053770695,985.126053537188,0.47570456754130225,0.5533333333333333,0.26,0.44666666666666666,801,779,134,78,repo_docs
control_replace,4,10,0.25,0.1,0.41105847761432546,336.0179998791953,0.48833819241982507,0.62,0.27,0.38,938,272,114,81,repo_docs
control_replace,4,10,0.25,0.2,0.3331115148565926,385.1007513008858,0.5612244897959183,0.6033333333333334,0.23666666666666666,0.3966666666666666,987,371,119,71,repo_docs
control_replace,4,10,0.25,0.3,0.3164826611461288,424.0284887550749,0.6180758017492711,0.5933333333333334,0.2733333333333333,0.4066666666666666,995,418,122,82,repo_docs
control_replace,4,10,0.5,0.1,0.4995901030262957,632.843204484495,0.45918367346938777,0.5466666666666666,0.23333333333333334,0.45333333333333337,858,487,136,70,repo_docs
control_replace,4,10,0.5,0.2,0.4163348310205799,675.335153915497,0.4912536443148688,0.59,0.24,0.41000000000000003,932,605,123,72,repo_docs
control_replace,4,10,0.5,0.3,0.35401242192797033,692.1592206138373,0.5043731778425656,0.59,0.26666666666666666,0.41000000000000003,975,666,123,80,repo_docs
control_replace,4,10,0.75,0.1,0.5571807352573575,843.3683846918066,0.4076773566569485,0.5433333333333333,0.21333333333333335,0.45666666666666667,776,614,137,64,repo_docs
control_replace,4,10,0.75,0.2,0.4392766312423959,858.8919590892654,0.41690962099125367,0.6066666666666667,0.29,0.3933333333333333,885,742,118,87,repo_docs
control_replace,4,10,0.75,0.3,0.42973793102651514,868.9246311228227,0.42128279883381925,0.5933333333333334,0.23333333333333334,0.4066666666666666,933,799,122,70,repo_docs
control_replace,4,15,0.25,0.1,0.3676768517417699,310.75922863017155,0.4518950437317784,0.6266666666666667,0.24333333333333335,0.3733333333333333,975,284,112,73,repo_docs
control_replace,4,15,0.25,0.2,0.31538354504343724,384.0852714471493,0.5597667638483965,0.5566666666666666,0.27,0.44333333333333336,998,381,133,81,repo_docs
control_replace,4,15,0.25,0.3,0.30847718644657085,423.9999999999947,0.6180758017492711,0.6133333333333333,0.24333333333333335,0.3866666666666667,1000,423,116,73,repo_docs
control_replace,4,15,0.5,0.1,0.44875461597254973,578.8128982370972,0.4205539358600583,0.55,0.24666666666666667,0.44999999999999996,936,512,135,74,repo_docs
control_replace,4,15,0.5,0.2,0.3515222656199941,643.3873890055075,0.4686588921282799,0.61,0.2866666666666667,0.39,983,625,117,86,repo_docs
control_replace,4,15,0.5,0.3,0.3387293272654778,690.1847467707994,0.5029154518950437,0.5933333333333334,0.23333333333333334,0.4066666666666666,993,682,122,70,repo_docs
control_replace,4,15,0.75,0.1,0.4951211474274748,814.8472132618814,0.3940719144800777,0.6,0.20333333333333334,0.4,860,670,120,61,repo_docs
control_replace,4,15,0.75,0.2,0.3898734214386437,835.6152402658157,0.40573372206025266,0.5933333333333334,0.2633333333333333,0.4066666666666666,947,781,122,79,repo_docs
control_replace,4,15,0.75,0.3,0.35798444175477606,854.5888095741263,0.41496598639455784,0.5666666666666667,0.28,0.43333333333333335,977,830,130,84,repo_docs
control_replace,5,5,0.25,0.1,0.47909394493228885,363.0177329027533,0.5247813411078717,0.58,0.24,0.42000000000000004,848,207,126,72,repo_docs
control_replace,5,5,0.25,0.2,0.430835130671796,410.40258548854024,0.5962099125364432,0.5666666666666667,0.25333333333333335,0.43333333333333335,906,314,130,76,repo_docs
control_replace,5,5,0.25,0.3,0.4052827060465596,449.45972433629316,0.6545189504373178,0.5833333333333334,0.2,0.41666666666666663,942,390,125,60,repo_docs
control_replace,5,5,0.5,0.1,0.5953451411190276,674.6189220618782,0.4868804664723032,0.6033333333333334,0.23333333333333334,0.3966666666666666,694,361,119,70,repo_docs
