variant,tail_loss_mean,novel_noise_tokens_mean,false_accept_count_mean,false_reject_count_mean
ablation_A,0,337.61728395061726,109.4753086419753,62.10339506172839
ablation_E,0,0,74.33024691358025,40.13117283950617
ablation_EA,0,0,58.31327160493827,29.95679012345679
ablation_O,0,522.0370370370371,116.19753086419753,66.46141975308642
ablation_OA,0,164.20987654320987,99.96913580246914,56.29475308641975
ablation_OE,0,0,67.54012345679013,35.907407407407405
ablation_miscalibrated,0,522.0370370370371,222.9783950617284,195.18827160493828
baseline_calibration_only,0,0,104.74074074074075,59.28086419753087
baseline_rag_only,0,0,95.35493827160494,53.464506172839506
control_accumulate,0,522.0370370370371,125.45216049382717,72.27006172839506
control_replace,389.4938271604938,239.44444444444446,125.45216049382717,72.27006172839506
oea_full,0,0,49.21604938271605,24.262345679012345
