seed,variant,iteration,stability_jsd,mean_log_prob,true_reject_rate,false_reject_rate
2,control,3,0.08741,-2.3701,0.5125,0.075
2,control,4,0.109595,-1.7601,0.725,0.025
2,control,5,0.161169,-1.4371,0.75,0.0375
2,control,6,0.222929,-1.435,0.5,0.1
2,control,7,0.262062,-1.3777,0.0875,0.025
2,control,8,0.328751,-1.5567,0.15,0.0
2,control,9,0.390564,-1.9536,0.5625,0.0375
2,control,10,0.397668,-2.0501,0.375,0.05
2,oea_rag_only,0,0.0,-3.7085,0.625,0.0625
2,oea_rag_only,1,0.027202,-3.3897,0.625,0.025
2,oea_rag_only,2,0.059671,-3.0642,0.7125,0.0375
2,oea_rag_only,3,0.0858,-2.7275,0.6875,0.0375
2,oea_rag_only,4,0.10663,-2.3795,0.5875,0.0625
2,oea_rag_only,5,0.149757,-2.0815,0.5,0.025
2,oea_rag_only,6,0.216058,-1.6774,0.45,0.0875
2,oea_rag_only,7,0.281736,-1.5177,0.45,0.05
2,oea_rag_only,8,0.341993,-1.4982,0.4375,0.0875
2,oea_rag_only,9,0.381217,-1.4127,0.5375,0.025
2,oea_rag_only,10,0.403812,-1.4431,0.375,0.025
2,oea_anchored,0,0.0,-3.7085,0.625,0.0625
2,oea_anchored,1,0.004749,-3.8804,0.6,0.05
2,oea_anchored,2,0.014015,-3.9048,0.725,0.05
2,oea_anchored,3,0.043265,-3.1784,0.6625,0.0375
2,oea_anchored,4,0.07482,-2.3001,0.4375,0.025
2,oea_anchored,5,0.101972,-1.3954,0.65,0.0375
2,oea_anchored,6,0.166299,-0.5303,0.4375,0.025
2,oea_anchored,7,0.235312,-0.2297,0.65,0.0375
2,oea_anchored,8,0.320488,-0.1979,0.4375,0.025
2,oea_anchored,9,0.415396,-0.2297,0.65,0.0375
2,oea_anchored,10,0.480799,-0.1979,0.4375,0.025
2,oea_miscalibrated,0,0.0,-3.7085,0.625,0.0625
2,oea_miscalibrated,1,0.033591,-3.4754,0.725,0.0875
2,oea_miscalibrated,2,0.062645,-3.1635,0.6125,0.0875
2,oea_miscalibrated,3,0.084792,-2.9058,0.7,0.05
2,oea_miscalibrated,4,0.103302,-2.7072,0.6625,0.1
2,oea_miscalibrated,5,0.138956,-2.5333,0.625,0.025
2,oea_miscalibrated,6,0.18742,-2.453,0.8,0.05
2,oea_miscalibrated,7,0.243639,-2.2083,0.4375,0.0375
2,oea_miscalibrated,8,0.288141,-1.9571,0.425,0.0375
2,oea_miscalibrated,9,0.31849,-1.9661,0.6625,0.075
2,oea_miscalibrated,10,0.327287,-2.1203,0.5375,0.0625
3,control,0,0.0,-3.7085,0.625,0.0625
3,control,1,0.033868,-3.4685,0.775,0.025
3,control,2,0.056614,-3.1674,0.775,0.0625
3,control,3,0.07813,-2.7311,0.775,0.0375
3,control,4,0.099332,-2.412,0.7125,0.025
3,control,5,0.140185,-2.2151,0.7,0.0875
3,control,6,0.200857,-1.9408,0.6375,0.075
3,control,7,0.261679,-1.8388,0.7875,0.05
3,control,8,0.308052,-1.894,0.7375,0.0125
3,control,9,0.323866,-1.9466,0.7125,0.075
3,control,10,0.328896,-2.0249,0.0875,0.025
3,oea_rag_only,0,0.0,-3.7085,0.625,0.0625
3,oea_rag_only,1,0.043383,-3.3243,0.575,0.025
3,oea_rag_only,2,0.076924,-2.6521,0.625,0.025
3,oea_rag_only,3,0.098265,-2.1563,0.575,0.0875
3,oea_rag_only,4,0.118776,-1.6901,0.6625,0.0875
3,oea_rag_only,5,0.17075,-1.9143,0.45,0.0875
3,oea_rag_only,6,0.232909,-2.0442,0.375,0.0625
3,oea_rag_only,7,0.292726,-2.0541,0.4125,0.075
3,oea_rag_only,8,0.353294,-2.0497,0.2625,0.05
3,oea_rag_only,9,0.385438,-2.0684,0.4625,0.0375
3,oea_rag_only,10,0.384081,-2.0866,0.1,0.025
3,oea_anchored,0,0.0,-3.7085,0.625,0.0625
3,oea_anchored,1,0.004812,-4.0701,0.775,0.025
3,oea_anchored,2,0.033448,-3.5099,0.7,0.025
3,oea_anchored,3,0.063674,-2.8802,0.625,0.05
3,oea_anchored,4,0.090677,-2.149,0.525,0.1
3,oea_anchored,5,0.114273,-1.3759,0.35,0.025
3,oea_anchored,6,0.174254,-1.0643,0.3125,0.0
3,oea_anchored,7,0.262863,-0.7094,0.3125,0.0
3,oea_anchored,8,0.356684,-0.2656,0.3125,0.0
3,oea_anchored,9,0.454252,-0.0253,0.3125,0.0
3,oea_anchored,10,0.541652,-0.0253,0.3125,0.0
3,oea_miscalibrated,0,0.0,-3.7085,0.625,0.0625
3,oea_miscalibrated,1,0.037307,-3.4894,0.1,0.025
3,oea_miscalibrated,2,0.066902,-3.1641,0.4125,0.0625
3,oea_miscalibrated,3,0.092069,-2.8159,0.425,0.075
3,oea_miscalibrated,4,0.111245,-2.478,0.5625,0.0625
3,oea_miscalibrated,5,0.114593,-2.4783,0.1,0.025
3,oea_miscalibrated,6,0.171041,-2.4793,0.55,0.0375
3,oea_miscalibrated,7,0.233228,-2.5025,0.375,0.0375
3,oea_miscalibrated,8,0.298722,-2.3547,0.3625,0.1
3,oea_miscalibrated,9,0.358292,-2.3243,0.3375,0.0625
3,oea_miscalibrated,10,0.38774,-2.2983,0.65,0.0375
4,control,0,0.0,-3.7085,0.625,0.0625
4,control,1,0.030795,-3.2062,0.6,0.075
4,control,2,0.051429,-2.6179,0.4875,0.1
4,control,3,0.074986,-1.9075,0.475,0.075
4,control,4,0.093614,-1.5903,0.425,0.0375
4,control,5,0.141419,-1.488,0.6625,0.05
4,control,6,0.207943,-1.6763,0.3375,0.05
4,control,7,0.280108,-1.6084,0.5625,0.025
4,control,8,0.339236,-1.2257,0.6,0.0625
4,control,9,0.375388,-0.9288,0.5875,0.0375
4,control,10,0.399241,-0.5662,0.575,0.0375
4,oea_rag_only,0,0.0,-3.7085,0.625,0.0625
4,oea_rag_only,1,0.02991,-3.3827,0.5875,0.0375
4,oea_rag_only,2,0.056149,-3.0568,0.125,0.025
4,oea_rag_only,3,0.084048,-2.7952,0.65,0.0375
4,oea_rag_only,4,0.103074,-2.3896,0.4375,0.05
4,oea_rag_only,5,0.141877,-2.2351,0.45,0.075
4,oea_rag_only,6,0.200111,-1.8425,0.5875,0.05
4,oea_rag_only,7,0.261207,-1.4113,0.4375,0.1
4,oea_rag_only,8,0.327888,-1.1304,0.55,0.0625
4,oea_rag_only,9,0.37562,-0.5754,0.4125,0.0625
4,oea_rag_only,10,0.407058,-0.525,0.425,0.0375
4,oea_anchored,0,0.0,-3.7085,0.625,0.0625
4,oea_anchored,1,0.005336,-3.8896,0.8125,0.05
4,oea_anchored,2,0.013418,-3.8144,0.75,0.05
4,oea_anchored,3,0.037522,-2.9875,0.475,0.0375
4,oea_anchored,4,0.06423,-2.065,0.675,0.0375
4,oea_anchored,5,0.090521,-1.1933,0.475,0.0375
4,oea_anchored,6,0.152679,-0.289,0.675,0.0375
4,oea_anchored,7,0.231041,-0.2169,0.475,0.0375
4,oea_anchored,8,0.305734,-0.2148,0.675,0.0375
4,oea_anchored,9,0.395698,-0.2169,0.475,0.0375
4,oea_anchored,10,0.472304,-0.2148,0.675,0.0375
4,oea_miscalibrated,0,0.0,-3.7085,0.625,0.0625
4,oea_miscalibrated,1,0.039265,-3.4381,0.6125,0.1
4,oea_miscalibrated,2,0.069105,-3.0994,0.775,0.05
4,oea_miscalibrated,3,0.094731,-2.7225,0.575,0.05
4,oea_miscalibrated,4,0.113421,-2.3635,0.6875,0.05
4,oea_miscalibrated,5,0.147433,-2.3624,0.55,0.0625
4,oea_miscalibrated,6,0.197652,-2.4876,0.7,0.025
4,oea_miscalibrated,7,0.249287,-2.5696,0.575,0.075
4,oea_miscalibrated,8,0.296044,-2.5398,0.7625,0.0375
4,oea_miscalibrated,9,0.323175,-2.406,0.65,0.025
4,oea_miscalibrated,10,0.332285,-2.3475,0.7,0.075
5,control,0,0.0,-3.7085,0.625,0.0625
5,control,1,0.033029,-3.4118,0.75,0.05
5,control,2,0.052178,-3.0103,0.8,0.025
5,control,3,0.071368,-2.5972,0.7875,0.0375
5,control,4,0.090508,-2.1496,0.325,0.0375
5,control,5,0.134415,-2.0671,0.7875,0.025
5,control,6,0.193581,-2.089,0.6625,0.0625
5,control,7,0.254173,-2.0794,0.675,0.0625
5,control,8,0.310379,-1.9234,0.55,0.0125
5,control,9,0.335173,-1.7771,0.55,0.075
5,control,10,0.350831,-1.8154,0.625,0.0375
5,oea_rag_only,0,0.0,-3.7085,0.625,0.0625
5,oea_rag_only,1,0.030645,-3.3229,0.7125,0.05
5,oea_rag_only,2,0.065658,-2.7981,0.575,0.025
5,oea_rag_only,3,0.090824,-2.4469,0.5,0.1
5,oea_rag_only,4,0.106957,-2.0244,0.55,0.0875
5,oea_rag_only,5,0.147262,-2.0738,0.6375,0.025
5,oea_rag_only,6,0.204755,-2.1242,0.5125,0.025
5,oea_rag_only,7,0.250496,-2.1917,0.6375,0.0375
5,oea_rag_only,8,0.304701,-2.0004,0.3375,0.0
5,oea_rag_only,9,0.343396,-1.4851,0.7125,0.0375
5,oea_rag_only,10,0.356168,-1.1341,0.5875,0.0875
5,oea_anchored,0,0.0,-3.7085,0.625,0.0625
5,oea_anchored,1,0.014205,-3.7367,0.675,0.0625
5,oea_anchored,2,0.018331,-3.5988,0.7375,0.0375
5,oea_anchored,3,0.025634,-3.702,0.825,0.025
5,oea_anchored,4,0.045297,-2.8476,0.6875,0.0375
5,oea_anchored,5,0.066483,-1.905,0.75,0.0375
5,oea_anchored,6,0.105128,-1.2039,0.625,0.0375
5,oea_anchored,7,0.172609,-0.4758,0.65,0.0375
5,oea_anchored,8,0.250483,-0.3336,0.6,0.0375
5,oea_anchored,9,0.32434,-0.3472,0.725,0.0375
5,oea_anchored,10,0.385853,-0.3608,0.6625,0.025
5,oea_miscalibrated,0,0.0,-3.7085,0.625,0.0625
5,oea_miscalibrated,1,0.034199,-3.5148,0.6,0.0625
5,oea_miscalibrated,2,0.066577,-3.1315,0.7625,0.05
5,oea_miscalibrated,3,0.082569,-2.8109,0.0875,0.025
5,oea_miscalibrated,4,0.106631,-2.4391,0.475,0.0625
5,oea_miscalibrated,5,0.13318,-2.1805,0.3375,0.075
5,oea_miscalibrated,6,0.173772,-2.1045,0.1,0.025
5,oea_miscalibrated,7,0.236674,-2.3037,0.575,0.025
5,oea_miscalibrated,8,0.307335,-2.3872,0.525,0.0875
5,oea_miscalibrated,9,0.374685,-2.4257,0.5,0.0875
5,oea_miscalibrated,10,0.403539,-2.4031,0.5875,0.05
6,control,0,0.0,-3.7085,0.625,0.0625
6,control,1,0.036787,-3.4535,0.6875,0.0625
6,control,2,0.062507,-3.1292,0.4625,0.05
6,control,3,0.087014,-2.6583,0.4875,0.0625
6,control,4,0.110269,-2.269,0.6375,0.05
6,control,5,0.15957,-1.739,0.55,0.0375
6,control,6,0.232622,-1.1782,0.6,0.0375
6,control,7,0.31455,-0.84,0.6625,0.0375
6,control,8,0.396441,-0.4347,0.6125,0.05
6,control,9,0.445937,-0.153,0.675,0.025
6,control,10,0.487607,-0.1817,0.5375,0.0375
6,oea_rag_only,0,0.0,-3.7085,0.625,0.0625
6,oea_rag_only,1,0.038778,-3.3682,0.7375,0.05
6,oea_rag_only,2,0.072127,-2.8769,0.725,0.05
6,oea_rag_only,3,0.100236,-2.3023,0.55,0.0125
6,oea_rag_only,4,0.120262,-1.6214,0.75,0.05
6,oea_rag_only,5,0.167737,-1.1777,0.75,0.05
6,oea_rag_only,6,0.241461,-0.8259,0.75,0.05
6,oea_rag_only,7,0.325494,-0.4941,0.75,0.05
6,oea_rag_only,8,0.408985,-0.2938,0.75,0.05
6,oea_rag_only,9,0.473188,-0.2938,0.75,0.05
6,oea_rag_only,10,0.501496,-0.2938,0.75,0.05
6,oea_anchored,0,0.0,-3.7085,0.625,0.0625
6,oea_anchored,1,0.007347,-3.8518,0.775,0.0375
6,oea_anchored,2,0.031723,-3.2017,0.775,0.05
6,oea_anchored,3,0.058166,-2.6879,0.5375,0.05
6,oea_anchored,4,0.082627,-1.9572,0.7125,0.0375
6,oea_anchored,5,0.106468,-1.0213,0.7,0.0375
6,oea_anchored,6,0.174,-0.5786,0.775,0.05
6,oea_anchored,7,0.257322,-0.49,0.725,0.0125
6,oea_anchored,8,0.348375,-0.3401,0.6125,0.025
6,oea_anchored,9,0.439563,-0.2984,0.725,0.05
6,oea_anchored,10,0.500267,-0.2346,0.7625,0.05
6,oea_miscalibrated,0,0.0,-3.7085,0.625,0.0625
6,oea_miscalibrated,1,0.032752,-3.4738,0.7,0.075
6,oea_miscalibrated,2,0.062148,-2.9574,0.6375,0.1
6,oea_miscalibrated,3,0.087248,-2.5729,0.6875,0.075
6,oea_miscalibrated,4,0.104273,-2.2611,0.8,0.0375
6,oea_miscalibrated,5,0.119076,-2.2277,0.1125,0.025
6,oea_miscalibrated,6,0.175811,-2.7529,0.6625,0.0625
6,oea_miscalibrated,7,0.243625,-2.8673,0.525,0.0625
6,oea_miscalibrated,8,0.30773,-2.6127,0.6,0.0375
6,oea_miscalibrated,9,0.378814,-2.6199,0.7,0.0625
6,oea_miscalibrated,10,0.380288,-2.5188,0.5625,0.05
7,control,0,0.0,-3.7085,0.625,0.0625
7,control,1,0.036494,-3.3872,0.6,0.05
7,control,2,0.057097,-2.9524,0.5875,0.025
7,control,3,0.081375,-2.3333,0.325,0.025
7,control,4,0.102037,-1.8405,0.7125,0.0625
7,control,5,0.149769,-1.8001,0.7,0.075
7,control,6,0.213076,-1.9313,0.65,0.05
7,control,7,0.272992,-2.1157,0.65,0.0375
7,control,8,0.324381,-2.1231,0.7,0.05
7,control,9,0.354534,-2.0481,0.7625,0.075
7,control,10,0.373944,-1.9771,0.65,0.0375
7,oea_rag_only,0,0.0,-3.7085,0.625,0.0625
7,oea_rag_only,1,0.025469,-3.3659,0.6875,0.0375
7,oea_rag_only,2,0.048592,-3.0869,0.525,0.075
7,oea_rag_only,3,0.066777,-2.5228,0.6625,0.0125
7,oea_rag_only,4,0.084655,-1.9255,0.7,0.0875
7,oea_rag_only,5,0.125859,-1.3487,0.6125,0.025
7,oea_rag_only,6,0.190503,-0.8628,0.625,0.1125
7,oea_rag_only,7,0.259106,-0.6311,0.6,0.0375
7,oea_rag_only,8,0.336117,-0.1788,0.6125,0.025
7,oea_rag_only,9,0.399078,-0.1761,0.625,0.1125
7,oea_rag_only,10,0.448587,-0.1897,0.6,0.0375
7,oea_anchored,0,0.0,-3.7085,0.625,0.0625
7,oea_anchored,1,0.005464,-3.7982,0.775,0.05
7,oea_anchored,2,0.009953,-3.792,0.8375,0.075
7,oea_anchored,3,0.025909,-3.5182,0.375,0.05
7,oea_anchored,4,0.053793,-2.5865,0.375,0.0125
7,oea_anchored,5,0.080455,-1.7978,0.375,0.0125
7,oea_anchored,6,0.130983,-0.94,0.375,0.0125
7,oea_anchored,7,0.202882,-0.1406,0.375,0.0125
7,oea_anchored,8,0.283051,-0.1406,0.375,0.0125
7,oea_anchored,9,0.365625,-0.1406,0.375,0.0125
7,oea_anchored,10,0.45582,-0.1406,0.375,0.0125
7,oea_miscalibrated,0,0.0,-3.7085,0.625,0.0625
7,oea_miscalibrated,1,0.030903,-3.4903,0.6375,0.0375
7,oea_miscalibrated,2,0.052146,-3.1606,0.6875,0.0625
7,oea_miscalibrated,3,0.068258,-2.831,0.825,0.0875
7,oea_miscalibrated,4,0.084858,-2.4893,0.75,0.0375
7,oea_miscalibrated,5,0.120215,-2.4526,0.4875,0.05
7,oea_miscalibrated,6,0.179217,-2.4112,0.4125,0.0375
7,oea_miscalibrated,7,0.231919,-2.3088,0.6125,0.025
7,oea_miscalibrated,8,0.283524,-2.397,0.4625,0.1
7,oea_miscalibrated,9,0.318808,-2.3166,0.4875,0.075
7,oea_miscalibrated,10,0.324165,-2.591,0.5875,0.0375
8,control,0,0.0,-3.7085,0.625,0.0625
8,control,1,0.032098,-3.4216,0.75,0.025
