seed,variant,iteration,stability_jsd,mean_log_prob,true_reject_rate,false_reject_rate
2,control,3,0.08262,-2.4415,0.725,0.05
2,control,4,0.100511,-2.0984,0.625,0.05
2,control,5,0.141996,-2.1474,0.6,0.1
2,control,6,0.1983,-2.2541,0.6125,0.05
2,control,7,0.257389,-2.1534,0.5125,0.0875
2,control,8,0.315101,-2.1049,0.7,0.075
2,control,9,0.345124,-1.9476,0.5625,0.0625
2,control,10,0.357357,-1.8809,0.6375,0.0375
2,oea_rag_only,0,0.0,-3.3591,0.65,0.05
2,oea_rag_only,1,0.032049,-3.1813,0.6875,0.0375
2,oea_rag_only,2,0.061761,-3.0525,0.65,0.0375
2,oea_rag_only,3,0.086077,-2.7005,0.675,0.0375
2,oea_rag_only,4,0.104033,-2.3029,0.5,0.1
2,oea_rag_only,5,0.149632,-2.144,0.5375,0.075
2,oea_rag_only,6,0.214713,-1.9588,0.6375,0.075
2,oea_rag_only,7,0.278992,-1.8992,0.75,0.05
2,oea_rag_only,8,0.346612,-1.8506,0.7625,0.0875
2,oea_rag_only,9,0.384731,-1.6776,0.7375,0.075
2,oea_rag_only,10,0.40882,-1.2858,0.725,0.0125
2,oea_anchored,0,0.0,-3.3591,0.65,0.05
2,oea_anchored,1,0.005803,-3.5775,0.4375,0.0375
2,oea_anchored,2,0.019954,-3.2042,0.8,0.0625
2,oea_anchored,3,0.044787,-2.6345,0.2,0.025
2,oea_anchored,4,0.07071,-1.8172,0.1125,0.025
2,oea_anchored,5,0.101199,-1.143,0.1125,0.025
2,oea_anchored,6,0.173499,-0.2667,0.1125,0.025
2,oea_anchored,7,0.252869,-0.1545,0.1125,0.025
2,oea_anchored,8,0.33509,-0.1218,0.1125,0.025
2,oea_anchored,9,0.427949,-0.1218,0.1125,0.025
2,oea_anchored,10,0.488729,-0.1218,0.1125,0.025
2,oea_miscalibrated,0,0.0,-3.3591,0.65,0.05
2,oea_miscalibrated,1,0.032049,-3.1813,0.6875,0.0375
2,oea_miscalibrated,2,0.061761,-3.0525,0.65,0.0375
2,oea_miscalibrated,3,0.081893,-2.7973,0.55,0.075
2,oea_miscalibrated,4,0.103773,-2.5379,0.725,0.0375
2,oea_miscalibrated,5,0.151239,-2.4661,0.1875,0.0
2,oea_miscalibrated,6,0.210443,-2.3869,0.4625,0.025
2,oea_miscalibrated,7,0.267681,-2.4056,0.475,0.05
2,oea_miscalibrated,8,0.325927,-2.4439,0.8125,0.0375
2,oea_miscalibrated,9,0.348069,-2.4698,0.65,0.05
2,oea_miscalibrated,10,0.362703,-2.4594,0.5875,0.1
3,control,0,0.0,-3.3591,0.65,0.05
3,control,1,0.02835,-3.0717,0.4,0.05
3,control,2,0.054312,-2.7134,0.7125,0.0625
3,control,3,0.082106,-2.3612,0.2,0.025
3,control,4,0.106241,-2.1229,0.6875,0.025
3,control,5,0.149464,-2.0385,0.775,0.05
3,control,6,0.210591,-2.0804,0.7125,0.05
3,control,7,0.267328,-2.0868,0.675,0.0375
3,control,8,0.321577,-2.1556,0.6375,0.1125
3,control,9,0.351838,-2.1295,0.8,0.0125
3,control,10,0.359889,-2.0987,0.725,0.0875
3,oea_rag_only,0,0.0,-3.3591,0.65,0.05
3,oea_rag_only,1,0.030604,-3.1369,0.75,0.0375
3,oea_rag_only,2,0.055221,-2.6503,0.625,0.1
3,oea_rag_only,3,0.079828,-2.0234,0.6,0.05
3,oea_rag_only,4,0.095855,-1.653,0.6625,0.025
3,oea_rag_only,5,0.127975,-1.5001,0.55,0.1
3,oea_rag_only,6,0.176859,-1.7237,0.6125,0.0875
3,oea_rag_only,7,0.234775,-1.9403,0.5625,0.0875
3,oea_rag_only,8,0.298026,-1.9814,0.5375,0.1
3,oea_rag_only,9,0.332071,-2.0286,0.4625,0.0625
3,oea_rag_only,10,0.344836,-1.9468,0.7,0.0375
3,oea_anchored,0,0.0,-3.3591,0.65,0.05
3,oea_anchored,1,0.00775,-3.4794,0.6625,0.05
3,oea_anchored,2,0.029525,-2.959,0.6625,0.0625
3,oea_anchored,3,0.055689,-2.2957,0.5375,0.05
3,oea_anchored,4,0.083595,-1.3988,0.4625,0.05
3,oea_anchored,5,0.124816,-0.7755,0.4625,0.05
3,oea_anchored,6,0.204996,-0.4414,0.4625,0.05
3,oea_anchored,7,0.29626,-0.1865,0.4625,0.05
3,oea_anchored,8,0.380955,-0.2173,0.4625,0.05
3,oea_anchored,9,0.455854,-0.2173,0.4625,0.05
3,oea_anchored,10,0.506564,-0.2173,0.4625,0.05
3,oea_miscalibrated,0,0.0,-3.3591,0.65,0.05
3,oea_miscalibrated,1,0.030604,-3.1369,0.75,0.0375
3,oea_miscalibrated,2,0.050602,-2.9276,0.2875,0.0
3,oea_miscalibrated,3,0.069069,-2.6594,0.4375,0.075
3,oea_miscalibrated,4,0.08193,-2.2855,0.4875,0.075
3,oea_miscalibrated,5,0.109068,-2.2817,0.4625,0.05
3,oea_miscalibrated,6,0.156679,-2.4043,0.7875,0.05
3,oea_miscalibrated,7,0.211087,-2.3079,0.725,0.025
3,oea_miscalibrated,8,0.266701,-2.5028,0.775,0.025
3,oea_miscalibrated,9,0.296451,-2.6432,0.4375,0.075
3,oea_miscalibrated,10,0.304475,-2.5013,0.475,0.0625
4,control,0,0.0,-3.3591,0.65,0.05
4,control,1,0.034001,-3.2247,0.775,0.075
4,control,2,0.06271,-2.962,0.7625,0.0375
4,control,3,0.084644,-2.6063,0.65,0.0375
4,control,4,0.108165,-2.3995,0.6,0.05
4,control,5,0.160071,-2.2758,0.6875,0.025
4,control,6,0.221982,-2.0045,0.5,0.0625
4,control,7,0.28845,-1.9978,0.625,0.0375
4,control,8,0.345376,-1.8934,0.6375,0.0375
4,control,9,0.39613,-1.9773,0.4625,0.025
4,control,10,0.401802,-2.2619,0.7375,0.0375
4,oea_rag_only,0,0.0,-3.3591,0.65,0.05
4,oea_rag_only,1,0.030862,-3.1738,0.5875,0.0375
4,oea_rag_only,2,0.057516,-3.0005,0.6375,0.0625
4,oea_rag_only,3,0.078949,-2.6595,0.7875,0.075
4,oea_rag_only,4,0.095758,-2.3073,0.675,0.0625
4,oea_rag_only,5,0.14372,-2.2902,0.5625,0.075
4,oea_rag_only,6,0.19826,-2.2872,0.5375,0.0375
4,oea_rag_only,7,0.261914,-2.1569,0.5375,0.05
4,oea_rag_only,8,0.324451,-2.172,0.4875,0.0625
4,oea_rag_only,9,0.351409,-2.2279,0.575,0.075
4,oea_rag_only,10,0.364107,-2.2426,0.425,0.05
4,oea_anchored,0,0.0,-3.3591,0.65,0.05
4,oea_anchored,1,0.005395,-3.6895,0.825,0.0375
4,oea_anchored,2,0.019056,-3.4965,0.625,0.05
4,oea_anchored,3,0.04724,-3.2231,0.175,0.0
4,oea_anchored,4,0.070762,-2.8597,0.1875,0.0
4,oea_anchored,5,0.096646,-1.9562,0.175,0.0
4,oea_anchored,6,0.132079,-0.968,0.175,0.0
4,oea_anchored,7,0.205894,-0.6377,0.175,0.0
4,oea_anchored,8,0.292312,-0.2209,0.175,0.0
4,oea_anchored,9,0.384347,-0.0673,0.175,0.0
4,oea_anchored,10,0.47762,-0.0673,0.175,0.0
